INFO 2026-05-15 14:41:17,547 autoreload Watching for file changes with StatReloader
INFO 2026-05-15 14:53:39,163 log "GET /api/patients/12/ HTTP/1.1" 200 507
INFO 2026-05-15 14:53:39,168 log "GET /api/documents/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:39,301 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:53:39,329 log "GET /api/documents/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:39,329 log "GET /api/payments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:39,330 log "GET /api/treatments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:39,331 log "GET /api/patients/12/ HTTP/1.1" 200 507
INFO 2026-05-15 14:53:39,334 log "GET /api/appointments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:58:57,590 autoreload Watching for file changes with StatReloader
INFO 2026-05-15 15:04:26,167 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 15:04:26,215 log "GET /api/dashboard/today/ HTTP/1.1" 200 2207
INFO 2026-05-15 15:04:27,748 log "GET /api/patients/ HTTP/1.1" 200 2319
INFO 2026-05-15 15:04:28,296 log "OPTIONS /api/patients/1/ HTTP/1.1" 200 0
INFO 2026-05-15 15:04:28,297 log "OPTIONS /api/treatments/?patient=1 HTTP/1.1" 200 0
INFO 2026-05-15 15:04:28,299 log "OPTIONS /api/appointments/?patient=1 HTTP/1.1" 200 0
INFO 2026-05-15 15:04:28,299 log "OPTIONS /api/payments/?patient=1 HTTP/1.1" 200 0
INFO 2026-05-15 15:04:28,301 log "OPTIONS /api/documents/?patient=1 HTTP/1.1" 200 0
INFO 2026-05-15 15:04:28,312 log "GET /api/patients/1/ HTTP/1.1" 200 486
INFO 2026-05-15 15:04:28,316 log "GET /api/treatments/?patient=1 HTTP/1.1" 200 905
INFO 2026-05-15 15:04:28,325 log "GET /api/appointments/?patient=1 HTTP/1.1" 200 1257
INFO 2026-05-15 15:04:28,332 log "GET /api/payments/?patient=1 HTTP/1.1" 200 565
INFO 2026-05-15 15:04:28,334 log "GET /api/documents/?patient=1 HTTP/1.1" 200 52
INFO 2026-05-15 15:04:32,482 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 15:04:32,824 log "GET /api/patients/ HTTP/1.1" 200 2319
INFO 2026-05-15 15:04:47,669 log "GET /api/patients/1/ HTTP/1.1" 200 486
INFO 2026-05-15 15:04:47,673 log "GET /api/documents/?patient=1 HTTP/1.1" 200 52
INFO 2026-05-15 15:04:47,681 log "GET /api/treatments/?patient=1 HTTP/1.1" 200 905
INFO 2026-05-15 15:04:47,682 log "GET /api/payments/?patient=1 HTTP/1.1" 200 565
